Reference Text,Hypothesis Text,WER Score
"これに不快感を示す住民はいましたが,現在,表立って反対や抗議の声を挙げている住民はいないようです。","これに不快感を示す住民はいましたが,現在,表立って反対や抗議の声を挙げている住民はいないようです。",0.00%
"幸福の科学側からは,特にどうしてほしいという要望はいただいていません。","幸福の科学側からは,特にどうしてほしいとい",40.00%
"星取り参加は当然とされ,不参加は白眼視される。","星取り参加は当然とされ,不参加は白",26.09%
室長の対応には終始誠実さが感じられた。,室長の対応には終始誠実さが感じられた。,0.00%
多くの女性が生理のことで悩んでいます。,多くの女性が生理のことで悩んでいます。,0.00%
先生の理想は限りなく高い。,先生の理想は限りなく高い。,0.00%
"それは兎も角,私も明日の社説を楽しみにしております。",それは,88.46%
"そうだったらいいなあとは思いますが,日本学術会議の会長談話について“当会では,標記の件について,以下のように考えます。”","そうだったらいいなあとは思いますが,日本学術会議の会長談話について“当会では,標記の件について,以下のように考えます。”",0.00%
教団にとっては存続が厳しくなると思う。,教団にとっては存続が厳しくなると思う。,0.00%
しかし強制していなくても問題です,しかし強制していなくても問題です,0.00%
"民族派のみなさんにとって陛下はいちばん大切な方ですから,その霊言について“あり得ない”という前提でお話をされる。",民族派のみなさんにとって陛下はい,71.43%
新しい産業構造を作らなければいけない。,新しい産業構造を作らなければいけない。,0.00%
心がないんだ。,心がないんだ。,0.00%
そのモサは今何をしているか。,そのモサは今何をしているか。,0.00%
本音としてはこの火に油を注ぎたいけれど。,本音としてはこの火に油を注,35.00%
25日も楽しみにされてください。,25日も楽しみにされてください。,0.00%
"なんだよなんだよぉ~,わが署に来たのなら教えてくれよぉ~。",なんだよなんだよ,72.41%
"どの本もツッコミどころが山ほどあり,会場内が爆笑の連続でした。","どの本もツッコミどころが山ほどあり,会場内が爆笑の連続でした。",0.00%
"社会への恨みと,破滅させたいという恐ろしいほどの煩悩。",社会への,85.19%
とんでもない。,とんでもない。,0.00%
"抗議デモの継続を宣言した統一教会,日本でも韓国東亜日報の様に襲撃事件が起こる惧れはないのか?","抗議デモの継続を宣言した統一教会,日本でも韓国東亜日報の様に襲撃事件が起こる惧れはないのか?",0.00%
"ついつい言葉だけで机上の空論をこねがちな自分は,ここは激しく自戒ですね...","ついつい言葉だけで机上の空論をこねがちな自分は,ここは激しく",21.05%
"当選して市長になってもなお,摂理との関係を明らかにしようとしないのは,とても残念。","当選して市長になってもなお,摂理との関係を明らかにしようとしないのは,とても残念。",0.00%
この夏が実は最大の山場になります。,この夏が実は最大の山場になります。,0.00%
"政府がもっと宗教法人の定義を厳しくし,こういう団体は排除すべき。","政府がもっと宗教法人の定義を厳しくし,こういう団体は排除すべき。",0.00%
"まあ,それが親心だ。","まあ,それが親心だ。",0.00%
"大川隆法氏を支持する人が挙げた主な理由は,以下のとおり。","大川隆法氏を支持する人が挙げた主な理由は,以下のとおり。",0.00%
すごくそういうところを引っかかる感じですか?,すごくそういうところを,50.00%
この記事が本当ならいくつかの問題がはっきり見えてきます。,この記事が本当ならいくつかの問題がはっきり見えてきます。,0.00%
"今,何もそれは達成されていない。","今,何もそれは達成されていない。",0.00%
身勝手すぎる。,身勝手すぎる。,0.00%
"大人と子供では体質が違うので,“大人に良いものが子供にもいい”とは必ずしもいえません。","大人と子供では体質が違うので,“大人に良いものが子供にもいい”とは必ずしもいえません。",0.00%
愛人がいたら怒るでしょ。,愛人がいたら怒るでし,16.67%
"キリスト教世界でも,たとえばアメリカでは大統領は宣誓式で聖書に手を置くし,共和党の選挙運動ではキリスト教会が力を持っている。","キリスト教世界でも,たとえばアメリカでは大統領は宣",59.68%
"“カンボジア三百万人大量虐殺をほめたたえ,カンパ集める”",“カン,89.29%
"奇しくも,今年1月付けの最新号です。",,100.00%
一番の方法は煎じることです。,一番の方法は,57.14%
"それでも,くり返しくり返し,人民に侵略反対を訴え続けて十年がたった。","それでも,",85.29%
"説教というか,アジテーションが始まります。",説教とい,80.95%
"参考文献リストを見る限りでは,本を書くにあたって読んだのかはわからないが,広範囲に亘って本を読んでいて勉強していることはわかった。","参考文献リストを見る限りでは,本を書くにあたって読んだのかはわからないが,広範囲に亘って本を読んでいて勉強していることはわかった。",0.00%
"文殊菩薩私が幸福になっていない以上,世界伝道などはありえない!","文殊菩薩私が幸福になっていない以上,世界伝道などはありえない!",0.00%
しばらくの完全休養とリハビリが必要とのことでした。,しばらくの完全休養とリハビリが必要とのことでした。,0.00%
"いまのところ,訴訟沙汰になったとか,米・中・朝の軍が幸福の科学を襲撃したといった話は聞きません。","いまのところ,訴訟沙汰になったとか,米・中・朝の軍が幸福の科学を襲撃したとい",20.83%
バームクーヘンでも周りにお砂糖がたっぷり付いているもの。,バームクーヘンでも周りにお砂糖がたっぷり付いているもの。,0.00%
"しかし,心配には及ばないようです。","しかし,心配には及ばないようです。",0.00%
"いったい,“次世紀ファーム研究所”とは何なのか。","いったい,“次世紀ファーム研究所”とは何なのか。",0.00%
"その後,一部の会員に渡すための賞状にサインしてくださいと頼まれ,サインをいたしました。","その後,一部の会員に渡すための賞状にサインしてくださいと頼まれ,サインをいたしました。",0.00%
"事前に海老澤代表からは“40歳くらいとお若いけれど,とても家系のことに詳しい先生”と聞かされていた。","事前に海老澤代表からは“40歳くらいとお若いけれど,とても家系のことに詳しい先生”と聞かされていた。",0.00%
“1000万円当たりますように”というのもありました。,“1000万円当たりますように”とい,33.33%
"いつもどおりなので,たぶん何も問題ありません。","いつもどおりなので,たぶん何も問題ありません。",0.00%
震災に乗じて末端信者から献金を集めようとの意図が判る。,震災に乗じて末端信者から献金を集めようとの意図が判る。,0.00%
"AdPlannerもサイトの月間利用者の推定データだと思うので,Twitterアカウント数でも,Twitter利用者数でもないだろう。",Ad,97.01%
